Galaxy	M_bull (+, -)	Ref.	sigma	log L_V	M_bulge	Ref.	 r_inf	Morph.	D	Method	
	( M_sun)		( km s^-1)		( M_sun)		(")		(Mpc)		
N4486A^x	1.4 (0.5,0.5) e7	34	111 +or- 5	9.48 +or- 0.02			0.06	E (pl)	18.4	stars	
N4564^f,^x	8.8 (2.4,2.4) e7	9	162 +or- 8		4.66e10	45	0.19	S0 (pl)	15.9	stars	
N4594 (M104)^b,^w	6.7 (0.5,0.4) e8	35	230 +or- 12				1.1	S	10.0	stars	
N4596	8.4 (3.6,2.5) e7	18	136 +or- 6				0.22	S0 (pl)	18.0	gas	
N4649 (M60)^b,^x	4.7 (1.1,1.0) e9	36	341 +or- 17	10.99 +or- 0.02	7.72e11	36	2.2	E (C)	16.5	stars	
N4697^x	2.0 (0.2,0.2) e8	9	177 +or- 8	10.46 +or- 0.04	1.29e11	9	0.46	E (pl)	12.5	stars	
N4736 (M94)^g,^w	6.8 (1.6,1.6) e6	37	112 +or- 6				0.10	S	5.0	stars	
N4826 (M64)^g,^w	1.6 (0.4,0.4) e6	37	96 +or- 5				0.02	S	7.3	stars	
N4889^b	2.1 (1.6,1.55) e10	27	347 +or- 17	11.48 +or- 0.05	1.75e12	46	1.5	E (C)	103.2	stars	
N5077	8.0 (5.0,3.3) e8	38	222 +or- 11	10.75 +or- 0.05	3.66e11	38	0.32	E (C)	44.9	gas	
N5128 (Cen A)^h,^w	5.9 (1.1,1.0) e7	39	150 +or- 7	10.60 +or- 0.03			0.60	S0/E (C)	4.1	stars	
N5516	4.0 (0.1,1.1) e9	15	306 +or- 26	11.22 +or- 0.05			0.63	E (C)	60.1	stars	
N5576^w	1.7 (0.3,0.4) e8	26	183 +or- 9	10.39 +or- 0.05	9.58e10	26	0.18	E (C)	25.7	stars	
N5845^w	4.9 (1.5,1.6) e8	9	234 +or- 11	9.75 +or- 0.05	3.36e10	9	0.31	E (pl)	25.9	stars	
N6086	3.8 (1.7,1.2) e9	40	318 +or- 16	11.23 +or- 0.05	1.43e12	40	0.24	E (C)	139.1	stars	
N6251	6.0 (2.0,2.0) e8	41	290 +or- 14		5.60e11	46	0.06	E (pl)	106.0	gas	
N6264^c	3.03 (0.05,0.04) e7	11	158^+16_-14				0.01	S	145.4	masers	
N6323^c	9.8 (0.1,0.1) e6	11	158^+28_-23				0.003	S	110.5	masers	
N7052	4.0 (2.8,1.6) e8	42	266 +or- 13	10.92 +or- 0.04	3.50e11	45	0.07	E (C)	70.9	gas	
N7582	5.5 (1.6,1.1) e7	43	156 +or- 19				0.09	S	22.3	gas	
N7619^b,^w	2.3 (1.2,0.1) e9	15	313 +or- 16	11.07 +or- 0.05			0.39	E (C)	53.9	stars	
N7768^b	1.3 (0.5,0.4) e9	44	257 +or- 13	11.09 +or- 0.05	1.16e12	44	0.14	E (C)	112.8	stars	
U3789^c	1.08 (0.06,0.05) e7	11	107^+13_-12				0.02	S	48.4	masers	

